Year,Pos,Pts,Reb,Ast,Stl,Blk,Tov,PF,FG%,3PT%,FT%,TS%,PER,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%
2009,SG,12.10175439,3.129824561,2.452631579,0.873684211,0.285964912,1.440350877,1.931578947,0.4397463,0.357586012,0.796747967,0.535385965,13.81052632,0.337719298,0.265631579,6.764912281,13.9877193,1.614035088,0.773684211,11.37894737,20.4
2008,C,9.491803279,6.583606557,1.157377049,0.529508197,1.08852459,1.319672131,2.681967213,0.519643673,0.338461538,0.699766355,0.557836066,15.71311475,0.02342623,0.397819672,15.58688525,7.3,1.172131148,3.550819672,14.2852459,17.56885246
2008,PF,11.2375,5.9875,1.367857143,0.721428571,0.630357143,1.369642857,2.569642857,0.47840796,0.371391076,0.75408805,0.547482143,15.29464286,0.143535714,0.324625,13.6625,8.158928571,1.423214286,1.9625,12.34464286,19.47142857
2008,PG,11.66346154,2.896153846,4.901923077,1.075,0.148076923,1.907692308,1.971153846,0.43702519,0.367765568,0.820301783,0.530019231,14.86153846,0.283884615,0.2825,5.961538462,27.13076923,1.973076923,0.384615385,15.38846154,20.08269231
2008,SF,11.52166667,4.193333333,1.995,0.855,0.441666667,1.38,2.066666667,0.445014144,0.366666667,0.786194258,0.53475,13.38166667,0.307366667,0.259583333,8.791666667,10.99166667,1.595,1.205,11.60333333,18.68166667
2008,SG,12.46607143,3.055357143,2.4875,0.880357143,0.264285714,1.444642857,1.957142857,0.440331394,0.375397667,0.819292605,0.542178571,14.15714286,0.355392857,0.255339286,6.533928571,14.43214286,1.692857143,0.728571429,11.42678571,20.78214286
2008,AVERAGE,11.24280702,4.597192982,2.319649123,0.804210526,0.52877193,1.474035088,2.258245614,0.461646071,0.369788941,0.77389336,0.542789474,14.67894737,0.219554386,0.305298246,10.24315789,13.26561404,1.558947368,1.612631579,12.97894737,19.26701754
2007,AVERAGE,11.20863309,4.61618705,2.467266187,0.807194245,0.51942446,1.497841727,2.241366906,0.460341346,0.363471314,0.760547026,0.536294964,14.62410072,0.208874101,0.30452518,10.04568345,14.25791367,1.562230216,1.527697842,13.08848921,19.41258993
2007,C,9.812068966,6.972413793,1.244827586,0.55,1.101724138,1.418965517,2.60862069,0.504887474,0.340425532,0.698830409,0.542965517,15.23965517,0.031241379,0.396931034,15.64482759,7.689655172,1.14137931,3.239655172,14.72413793,17.95
2007,PF,10.71538462,5.986538462,1.484615385,0.767307692,0.657692308,1.315384615,2.528846154,0.476505625,0.338211382,0.733146067,0.537057692,15.10961538,0.130673077,0.321942308,13.43269231,8.892307692,1.538461538,2.065384615,12.21923077,19.20384615
2007,PG,10.38214286,2.626785714,4.760714286,0.980357143,0.141071429,1.723214286,1.948214286,0.437373328,0.359591539,0.797113071,0.523767857,14.27321429,0.283089286,0.245678571,5.592857143,27.50714286,1.898214286,0.391071429,15.04642857,19.3625
2007,SF,13.05625,4.5125,2.227083333,0.93125,0.485416667,1.560416667,2.272916667,0.453314752,0.372372372,0.776996805,0.5421875,14.6875,0.269229167,0.2951875,8.94375,11.86458333,1.629166667,1.279166667,11.52708333,20.125
2007,SG,12.2125,3.1859375,2.546875,0.828125,0.2359375,1.4734375,1.9078125,0.441389063,0.37012987,0.801108033,0.536171875,13.93125,0.3231875,0.265125,6.9421875,14.771875,1.61875,0.7203125,11.7703125,20.4171875
2006,C,10.07037037,6.927777778,1.235185185,0.562962963,1.181481481,1.6,2.892592593,0.518554928,0.327102804,0.667986425,0.553481481,15.59074074,0.018944444,0.435574074,15.6962963,7.472222222,1.140740741,3.492592593,15.62407407,17.9037037
2006,PF,9.45,5.403225806,1.353225806,0.606451613,0.522580645,1.34516129,2.451612903,0.469681184,0.352048558,0.736010533,0.530209677,14.0483871,0.13383871,0.337193548,13.39032258,8.677419355,1.346774194,1.819354839,14.08387097,18.80806452
2006,PG,10.55535714,2.619642857,4.625,0.967857143,0.119642857,1.848214286,2.021428571,0.426939266,0.350070721,0.804878049,0.517321429,14.4375,0.285267857,0.276125,5.842857143,27.84821429,1.898214286,0.355357143,15.95535714,20.04285714
2006,SF,12.43921569,4.435294118,2.001960784,0.921568627,0.503921569,1.564705882,2.317647059,0.4556587,0.368024133,0.7699938,0.545980392,14.65686275,0.283313725,0.303705882,9.052941176,11.01764706,1.62745098,1.350980392,12.14509804,19.67254902
2006,SG,12.66769231,3.186153846,2.763076923,0.918461538,0.241538462,1.656923077,2.096923077,0.444901692,0.370739381,0.802093245,0.5428,14.52769231,0.298461538,0.302230769,6.735384615,15.85538462,1.698461538,0.643076923,12.66,20.51076923
2006,AVERAGE,11.03680556,4.476041667,2.400347222,0.794791667,0.501041667,1.6,2.346875,0.459950551,0.36153704,0.756430011,0.537701389,14.62916667,0.205364583,0.329944444,10.08506944,14.21354167,1.544444444,1.5,14.071875,19.41597222
2005,AVERAGE,10.91827957,4.496415771,2.347670251,0.798924731,0.52437276,1.527598566,2.42688172,0.455622262,0.359293456,0.747801999,0.531129032,14.54408602,0.192053763,0.340512545,10.10537634,13.90143369,1.551612903,1.571326165,13.76057348,19.30752688
2005,C,7.822641509,5.98490566,0.860377358,0.471698113,1.073584906,1.264150943,2.837735849,0.507241814,0.171428571,0.661849711,0.540301887,14.03018868,0.013132075,0.455962264,15.15471698,5.737735849,1.049056604,3.622641509,16.01698113,16.1490566
2005,PF,11.04333333,6.07,1.64,0.656666667,0.671666667,1.401666667,2.578333333,0.473576479,0.351677852,0.726436782,0.53215,15.41666667,0.153383333,0.327033333,13.47666667,10.17833333,1.336666667,1.883333333,12.52,19.80833333
2005,PG,11.64067797,2.755932203,4.584745763,1.03559322,0.147457627,1.896610169,2.252542373,0.431097881,0.36311054,0.789925587,0.519966102,14.68474576,0.27479661,0.290118644,5.766101695,26.28983051,1.927118644,0.413559322,15.27457627,20.47966102
2005,SF,11.74150943,4.479245283,1.91509434,0.9,0.511320755,1.460377358,2.309433962,0.450340408,0.357522124,0.749434389,0.531773585,14.26792453,0.228188679,0.339150943,9.469811321,11.03773585,1.69245283,1.366037736,12.33207547,19.33396226
2005,SG,12.22037037,3.205555556,2.574074074,0.92037037,0.246296296,1.588888889,2.161111111,0.438206411,0.364775726,0.795673077,0.532555556,14.1962963,0.284759259,0.298574074,6.768518519,15.32592593,1.735185185,0.677777778,12.67222222,20.54444444
2004,C,8.227777778,5.95,0.898148148,0.511111111,1.081481481,1.222222222,2.792592593,0.5,0.33,0.683518006,0.537222222,14.51666667,0.028537037,0.418037037,14.93518519,6.035185185,1.157407407,3.446296296,14.59814815,16.77777778
2004,PF,11.77368421,6.69122807,1.61754386,0.743859649,0.824561404,1.519298246,2.635087719,0.462855062,0.34602649,0.745108408,0.527964912,15.93157895,0.125982456,0.343070175,13.90701754,9.805263158,1.449122807,2.201754386,12.55614035,20.40526316
2004,PG,11.03965517,2.668965517,4.810344828,1.053448276,0.139655172,1.848275862,2.113793103,0.425823159,0.35382603,0.798857868,0.5175,14.97586207,0.276965517,0.281689655,5.612068966,28.95689655,2.081034483,0.422413793,15.52586207,20.23448276
2004,SF,12.25964912,4.340350877,2.114035088,0.898245614,0.4,1.589473684,2.305263158,0.445542837,0.364714603,0.778415614,0.527947368,14.39298246,0.242596491,0.294421053,9.054385965,12.45087719,1.71754386,1.094736842,12.4245614,20.25438596
2004,SG,10.79666667,3.17,2.325,0.895,0.24,1.408333333,2.058333333,0.428890544,0.359269283,0.798088411,0.525133333,13.55,0.276583333,0.296016667,7.04,14.53333333,1.823333333,0.673333333,12.49,19.53166667
2004,AVERAGE,10.8472028,4.528321678,2.376573427,0.825174825,0.526923077,1.520629371,2.372377622,0.448900236,0.356916996,0.762219287,0.526993007,14.66433566,0.193038462,0.32520979,10.01118881,14.4965035,1.654195804,1.534615385,13.50384615,19.47237762
2003,AVERAGE,10.7034749,4.652895753,2.476061776,0.9003861,0.554826255,1.613513514,2.3,0.441117594,0.348562514,0.754648904,0.515787645,14.81621622,0.177328185,0.310501931,9.977606178,15.19420849,1.775289575,1.566409266,14.01505792,19.38918919
2003,C,7.734,5.97,0.994,0.554,1.132,1.202,2.662,0.485604607,0.290909091,0.670792079,0.52286,14.39,0.01134,0.38488,14.618,6.77,1.298,3.55,14.438,16.43
2003,PF,11.06315789,6.489473684,1.752631579,0.801754386,0.843859649,1.633333333,2.554385965,0.4622514,0.33747412,0.736269712,0.521350877,16.12631579,0.100842105,0.362947368,13.63157895,11.02982456,1.612280702,2.238596491,13.82105263,19.85087719
