Year,Pos,Player,Similar
1980,PF,Joe Bryant,2.73386288097578
1980,SF,Mike O'Koren,3.26554982305726
1980,SG,Sidney Moncrief*,3.41068771066051
1980,PG,Vinnie Johnson,4.50585137231896
1980,C,Steve Hawes,4.5523197013911
1979,PF,Dave Meyers,2.65879311946177
1979,SG,Michael Cooper,2.78875559594711
1979,SF,Mike Bantom,3.17978734079352
1979,C,Coby Dietrick,3.75887593745518
1979,PG,Jim McElroy,5.02328781502134
